key,nonce,data,enc
088cdba3a57ef422f90dc929e7ad688367a98d8d17666e4e0d80fbbf7a5e55de,3d667608f909f219,27,52
7c0db8fa44899ead67f721f6f4b4a0f754de3f3b4c2b4c20ed6dc11da880f5f8,2dbc02dd94540ee0,506c,d511
4112f4839eb209adc21aacc6760c7eb1c4ca51f549636446a97db715fc5da86a,022602cf3bb6acb8,e44630,445dff
de8eb8d9b8bc4967e6cb27ac786e3cc885a9e2cb9b87e3521db177536abbbdfb,f919e6f9b1ecf72c,072c90b5,5660c32f
02a5844d5200e730b2bad775048bee1f8866d4c69618c7a32fa254d82c56b207,55f3f919b0322771,c273fde2c9,c39b0f86e1
79aa9709bfcbd753de7224f0f35f660ef34c008b1e745b1f343d172b8f605661,95ad97f09723bf52,b6f76c50f05e,0b5d42cf08dc
06b3247f921b1b67a963ae4977c44003a376e0107b38c6db67b3470df49ea14a,1fdfff0a02919c3e,f13e8a3fcd9bed,359d1e3680ebbe
cf84707498a8da26d55b433c0f8b22565b06df5b1e38d8cfed14c0bf53af2298,8cf44b875f3639bf,325b7f35e0e5fc0a,e5af39db10e1bd5a
b2c8b0084064a1ea95feb98bc455f1a4e42494e9da45be8de5eab05f9d0ff94f,09f7e037dbac2599,ae80d5f98e659ff596,77f14045ecae1eca1f
c0fd0bd08310b0c24f61224cde21bd46e4cad62badcb09ee96c4e6cf6c999c52,0626fdd51c3fea22,f9be89ea3a7d8a020059,07936c09e08d9343ee39
