data,hash
85,8768a53e1d4c182907306300f9ca90cfd8018383
a558,ce02e59333fd1cf165e23be8303bb71a4cde13e4
ea0204,7f4f58dbad315b6669c9ced6e858dba29cc20017
8400c2db,9cbabcc80b6d5c57a8f85b1b9c39ef71e38092cb
39575d2b44,36f12d749be0aedab2cd33882b56167bd216a8e9
4bd81d411636,c19136d208f518d3017e5c12a20a0f740fd9e532
81b2c6f5b9368e,c16c6fd18ce49e9a71e8b783f06f144b3dc50b31
97eb559d0d9d732b,b5c06a65961c50e0c679e5e67237ec496bfb4787
df0ce308e19df4d858,79536e1b1df57f314fbdb751a60f82f152bb1b6f
cf3c5418e98709bcbd05,41c1e9ecb161e0c33edb5821b96c4f84fdd020b0
