data,hash
ba,25ca94e9fd1f0097235c6ab85b50c8ce8f73a36656d805627a55c50812975a4ff1b8f243aeb8c79f6bec558b7b138c82f4a33a44a6e5ede4031ac3c33507ecbf
a192,0b450d333e0323ea9bd6fb18a1b4d2989e318935441b58aa6b267fdd71fa0e339c10149d5cc50b2978e1fd740136ef89721ec84a2e91ba5a7328dff40b0c8031
37a0b1,5718b5c1aa7019959cfa3d502afa1935a061d01e3253d0f2c253be49af30c50dd8edc96582be05aed4a1be733567ae42f2f8862ff7dbd6dfc56f257e8cf55af8
67987932,039234a8b6332d3ca061a8f0ecd4060e1deeda343c5f46c03cf78b4e13ebc5263b54c84419eef203a7a3d6c43feccc01dcb6093d6adf5cb0fbea39c258993c4b
90ed5acbd5,df99bea56e14f2924649a957528b55607fa7e0059db6a943ecab5ab226ab7a90278f2f578bbff8f77f6eee3b68d2c4b13c9bb31412ee4d1ccbd9af0bf68ca664
e010bc68c1d4,e08ec8488a935b6ef3ba8be1bc2a9210cfc246e7e1090cf6d663c17f716186b497e7bcea7d235e66c61012cbcd00a958d6db96505f7dca43c2469c3d28990e35
705222c7116cfb,67415ee9188789df9a87dcfeabb37ed481726593fe287d4fa949f0d795b478cbc2bc77408cc7796c8f84113fa7c9cd884ed4329cc908e32a23999b9972550f85
d302824cb63aeda1,43639de68724c96c2236eef9be631cda04959ce76e6fde9a7686b6cdd94d2ab2daf5bb7a8b31dd4f3b64232d46170e706e500c45de01d9fd8a25d6c8ebcbab71
436fc2f7bf737d0bd7,98fdc4c18a810bf3ddd213f536270fa42a9ece834413ad9ae1c11fe2ad111258fc3f9a71263386c6448cadc00dca5c77dd6b9b58dea2251e1d00b35b6095c9a9
ae60052c7f1e934459c7,6d08bed6ce5e391646401958c4b8f5335e63aa547a52b366194c4c2c492d50788878441ecb1dab4ae64e5f8e59fc57b5791fcbb64d0cdf6549f79a8f55bd2382
